订单ID,团长ID,订单日期,订单金额,参团人数,商品分类,团长返现金额
321512352,100090,2018/1/1,497,19,生鲜-水产,43.85
321512353,100993,2018/1/1,509,8,家用-清洁用品,33.45
321512354,100883,2018/1/1,630,10,零食-饮料,41.5
321512355,100856,2018/1/1,1051,10,生鲜-水产,62.55
321512356,100788,2018/1/1,1112,10,零食-方便食品,65.6
321512357,100879,2018/1/1,1702,6,生鲜-水果,91.1
321512358,100723,2018/1/1,418,16,零食-饮料,36.9
321512359,100531,2018/1/1,749,16,生鲜-蔬菜,53.45
321512360,100761,2018/1/1,335,13,家用-个人护理,29.75
321512361,100883,2018/1/1,638,8,零食-坚果,39.9
321512362,100791,2018/1/1,1024,4,零食-饮料,55.2
321512363,100699,2018/1/1,1507,14,零食-膨化食品,89.35
321512364,100489,2018/1/1,1259,6,生鲜-禽肉,68.95
321512365,100869,2018/1/1,1159,3,生鲜-水果,60.95
321512366,100606,2018/1/1,954,10,零食-饮料,57.7
321512367,100849,2018/1/1,1181,12,家用-日化用品,71.05
321512368,100824,2018/1/1,1031,15,生鲜-蔬菜,66.55
321512369,100995,2018/1/1,1228,8,家用-日化用品,69.4
321512370,100742,2018/1/1,1335,6,家用-个人护理,72.75
321512371,100789,2018/1/1,1035,2,家用-清洁用品,53.75
321512372,100588,2018/1/1,1293,9,生鲜-禽肉,73.65
321512373,100787,2018/1/1,1121,6,零食-方便食品,62.05
321512374,100661,2018/1/1,1052,17,生鲜-禽肉,69.6
321512375,100686,2018/1/1,1266,10,零食-坚果,73.3
321512376,100716,2018/1/1,1244,2,零食-饮料,64.2
321512377,100755,2018/1/1,773,11,零食-坚果,49.65
321512378,100727,2018/1/1,1293,7,家用-清洁用品,71.65
321512379,100840,2018/1/1,888,11,生鲜-禽肉,55.4
321512380,100414,2018/1/1,845,12,生鲜-水产,54.25
321512381,100844,2018/1/1,761,14,零食-坚果,52.05
321512382,100621,2018/1/1,470,13,家用-日化用品,36.5
321512383,100499,2018/1/1,1194,9,零食-膨化食品,68.7
321512384,100944,2018/1/1,552,17,生鲜-禽肉,44.6
321512385,100692,2018/1/1,1077,7,家用-清洁用品,60.85
321512386,100398,2018/1/1,963,12,零食-膨化食品,60.15
321512387,100610,2018/1/1,1170,8,零食-方便食品,66.5
321512388,100703,2018/1/1,1271,14,家用-清洁用品,77.55
321512389,100629,2018/1/1,908,9,家用-个人护理,54.4
321512390,100531,2018/1/1,804,5,零食-坚果,45.2
321512391,100485,2018/1/1,1019,5,零食-膨化食品,55.95
321512392,100748,2018/1/1,1004,19,生鲜-禽肉,69.2
321512393,100557,2018/1/1,1022,8,零食-膨化食品,59.1
321512394,101002,2018/1/1,773,9,零食-饮料,47.65
321512395,100408,2018/1/1,616,11,家用-日化用品,41.8
321512396,100853,2018/1/1,842,5,生鲜-蔬菜,47.1
321512397,100795,2018/1/1,941,16,生鲜-禽肉,63.05
321512398,100513,2018/1/1,1313,9,家用-日化用品,74.65
321512399,100785,2018/1/1,1407,8,家用-日化用品,78.35
321512400,100712,2018/1/1,668,1,生鲜-蔬菜,34.4
321512401,100689,2018/1/1,1266,8,生鲜-水产,71.3
321512402,100394,2018/1/1,1728,13,零食-饮料,99.4
321512403,100494,2018/1/1,976,11,家用-清洁用品,59.8
321512404,100981,2018/1/1,1551,8,零食-饮料,85.55
321512405,100627,2018/1/1,816,10,生鲜-水产,50.8
321512406,100734,2018/1/1,946,15,零食-坚果,62.3
321512407,100822,2018/1/1,1635,9,生鲜-蔬菜,90.75
321512408,100453,2018/1/1,1046,14,零食-饮料,66.3
321512409,100970,2018/1/1,1406,8,生鲜-水果,78.3
321512410,100929,2018/1/1,1226,17,生鲜-水产,78.3
321512411,100613,2018/1/1,1263,9,家用-个人护理,72.15
321512412,100610,2018/1/1,1246,10,家用-清洁用品,72.3
321512413,100737,2018/1/1,700,5,生鲜-水产,40
321512414,100550,2018/1/1,1255,2,零食-方便食品,64.75
321512415,100527,2018/1/1,919,7,生鲜-水果,52.95
321512416,100732,2018/1/1,679,9,家用-个人护理,42.95
321512417,100506,2018/1/1,1279,3,生鲜-水产,66.95
321512418,100561,2018/1/1,677,6,零食-坚果,39.85
321512419,100657,2018/1/1,193,11,家用-日化用品,20.65
321512420,100642,2018/1/2,854,6,零食-方便食品,48.7
321512421,100681,2018/1/2,1067,20,生鲜-水果,73.35
