商家名称,服务类目,主营范围,详细地址,服务区域,联系方式,品牌故事,图片地址
花点时间花艺（香蜜湖第七分店）,鲜花,,福田区香蜜湖侨香路香蜜湖豪庭105号,深圳市,0755-82777310,,https://p0.meituan.net/440.0/dpmerchantalbum/b5e36ac575e0507f66385e04c2e9f2b31936720.jpg
丽石鲜花（美宝莲店）,鲜花,,福田区香梅北路2001号,深圳市,400-690-7520/18676377558,,https://p0.meituan.net/440.0/deal/cd4809e8b19794612f2fd1726a275130261281.jpg
情怀花舍,鲜花,,福田区香蜜湖侨香路香梅北地铁站d出口,深圳市,13510023901,,https://p1.meituan.net/440.0/dpmerchantalbum/0e4a2af7102375f68b74965065edf6597349696.jpg
兰景丽园鲜花（特发小区店）,鲜花,,福田区香梅北路特发小区13栋特发幼儿园旁,深圳市,400-043-0370,,https://p1.meituan.net/440.0/dpdeal/d5691e2d7b1f3dc6d9239e6a0b8c442d77219.jpg
丽石鲜花（福到来店）,鲜花,,福田区四号路3号旁,深圳市,400-690-7520/18676377558,,https://p0.meituan.net/440.0/deal/cd4809e8b19794612f2fd1726a275130261281.jpg
丽石鲜花（香梅店）,鲜花,,福田区香梅路1061号中投国际商务中心B1栋1楼,深圳市,400-690-7520,,https://p0.meituan.net/440.0/deal/cd4809e8b19794612f2fd1726a275130261281.jpg
爱尚礼鲜花（梅林店）,鲜花,,福田区环林街2号绿化大厦7楼,深圳市,0755-82918100,,https://p0.meituan.net/440.0/dpmerchantalbum/fdeb7b0e65741b5630c03c00729ead661782641.jpg
今喜花屿（上梅林店）,鲜花,,福田区梅林路教堂对面上梅林文体公园大门旁,深圳市,13164768943,,https://p1.meituan.net/440.0/deal/866d848e070dfe57d7071780d2249a1f83271.jpg
花语花意Flower（上梅林店）,鲜花,,福田区梅林路48号,深圳市,18028595368,,https://p1.meituan.net/440.0/deal/__49532727__7697721.jpg
浪漫花屋鲜花店（梅林店）,鲜花,,福田区上梅林新村23号,深圳市,15817355705,,https://p1.meituan.net/440.0/merchantpic/48cf55233f3395344f2929333c877c83360573.jpg
花点心思花艺（上梅林店）,鲜花,,福田区中康路卓悦汇购物中心1009号,深圳市,0755-88605075,,https://p0.meituan.net/440.0/dpmerchantalbum/d6fd493d5371008fc3a3aa753e13d92385331.jpg
新原野花艺（卓悦汇店）,鲜花,,福田区中康路126号卓悦汇购物中心B1,深圳市,13312892487,,https://p0.meituan.net/440.0/dpmerchantalbum/35d6eb25e828a720ae1fc9bf950f29b7318433.jpg
兰亭 Flower（梅林店）,鲜花,,福田区中康路卓悦汇购物中心L1-113档,深圳市,13631517883,,https://p0.meituan.net/440.0/merchantpic/aba2151fb84798b6c8aacb638d9daad0207847.jpg
大行花开（下梅林店）,鲜花,,福田区下梅林农批花卉街90号,深圳市,400-092-5186/13922861815,,https://p0.meituan.net/440.0/deal/208716f29b8bb85d2beea84afe0b1fe8313343.jpg
天马座花艺（梅林店）,鲜花,,福田区梅林路148-3号,深圳市,400-865-8182,,https://p1.meituan.net/440.0/deal/9114c404cece9f705327f58c810a3cf197261.jpg
丽石鲜花（文体公园店）,鲜花,,福田区梅华路与梅丽路交叉口梅林文体公园附近,深圳市,400-690-7520/18676377558,,https://p0.meituan.net/440.0/deal/cd4809e8b19794612f2fd1726a275130261281.jpg
春暖花开鲜花店（梅林店）,鲜花,,福田区梅华路38号百兴苑,深圳市,13922899547,,https://p0.meituan.net/440.0/dpmerchantalbum/e77941dcf31f5ffa4240cee0e6933343117754.jpg
田园花语（梅华店）,鲜花,,福田区梅华路天虹商场二楼（上梅林地铁站C出口）,深圳市,0755-82774400/18098980567,,https://p1.meituan.net/440.0/deal/4bcf402d92d7805340f5b467c1449ce4265880.jpg
梵茜花艺（卓悦汇店）,鲜花,,福田区梅康路理想时代大厦12楼1202,深圳市,18682105967/18684532660,,https://p0.meituan.net/440.0/dpmerchantalbum/70d782cf79c64443545ef49cac6411f1106390.jpg
澜馨花语（咏山名苑店）,鲜花,,福田区龙尾路170号咏山名苑1楼2号商铺,深圳市,13480177725,,https://p0.meituan.net/440.0/deal/0535bbba74b2c142718ccd3bbae098fe212216.jpg
牡丹鲜花旗舰店（牡丹鲜花135店）,鲜花,,福田区中康路华茂苑东门17号铺面,深圳市,400-033-9596,,https://p1.meituan.net/440.0/deal/050477faebb785b4a8e3124f314e6611465369.jpg
花悦flower（上梅林店）,鲜花,,福田区上梅林中康路卓越汇附近,深圳市,15818669479,,https://p0.meituan.net/440.0/merchantpic/e730326d41887cad6894f1a39c98f62c938564.jpg
朵恋鲜花（下梅林店）,鲜花,,福田区梅林路159号金梅花园,深圳市,18927434412,,https://p0.meituan.net/440.0/dpmerchantalbum/96735de560fa21efaa23291e8e37cce1155391.jpg
